insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (1, 'Macpherson', 1645, 1, 9);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (2, 'Spohn', 4492, 1, 17);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (3, 'Dawn', 4478, 1, 15);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (4, 'Hoepker', 2132, 1, 19);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (5, 'Arrowood', 5806, 1, 15);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (6, 'Colorado', 2371, 1, 4);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (7, 'Moland', 5578, 1, 3);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (8, 'Ridgeway', 652, 1, 13);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (9, 'Toban', 2685, 1, 19);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (10, '4th', 374, 1, 13);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (11, 'Cardinal', 2719, 1, 2);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (12, 'Caliangt', 1770, 1, 5);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (13, 'Gateway', 1869, 1, 1);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (14, 'Cherokee', 2134, 1, 1);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (15, 'Dunning', 5304, 1, 1);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (16, 'Portage', 436, 1, 5);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (17, 'Bluejay', 4503, 1, 7);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (18, 'Corscot', 2169, 1, 9);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (19, 'Jackson', 2041, 1, 17);
insert into Direcciones (idDireccion, calle, nro, Ciudades_idCiudad, Zonas_idZona) values (20, 'Weeping Birch', 3170, 1, 11);
